Generation,BestFitness
0,8.26542242983691
1,8.26542242983691
2,8.26542242983691
3,7.040091752243317
4,7.040091752243317
5,4.461201217414917
6,1.432358581102104
7,1.432358581102104
8,1.432358581102104
9,1.432358581102104
10,1.432358581102104
11,0.9970190760005551
12,0.9970190760005551
13,0.9970190760005551
14,0.04404869452165627
15,0.04404869452165627
16,0.04404869452165627
17,0.04404869452165627
18,0.04404869452165627
19,0.04404869452165627
20,0.04404869452165627
21,0.04404869452165627
22,0.023516968621347445
23,0.0020167239410930904
24,0.0020167239410930904
25,0.00022512235882743425
26,0.00022512235882743425
27,0.00022512235882743425
28,0.00022512235882743425
29,0.00022512235882743425
30,0.00022512235882743425
31,0.00022512235882743425
32,0.00022512235882743425
33,0.00014366636692386692
34,9.928255940749864e-05
35,9.828773612241548e-05
36,9.388165018719974e-07
37,9.388165018719974e-07
38,9.388165018719974e-07
39,9.388165018719974e-07
40,9.388165018719974e-07
41,9.388165018719974e-07
42,9.388165018719974e-07
43,9.388165018719974e-07
44,9.388165018719974e-07
45,5.771389233188984e-07
46,1.804211535727518e-07
47,1.804211535727518e-07
48,1.804211535727518e-07
49,1.804211535727518e-07
50,5.3461722160363934e-08
51,3.015120597638088e-08
52,7.078110542124705e-09
53,1.1535128408013406e-09
54,1.1197087701475539e-10
55,1.1197087701475539e-10
56,1.1197087701475539e-10
57,1.1197087701475539e-10
58,1.1197087701475539e-10
59,1.1197087701475539e-10
60,1.3155698752598255e-11
61,1.3155698752598255e-11
62,1.3155698752598255e-11
63,1.3155698752598255e-11
64,2.5934809855243657e-12
65,2.5934809855243657e-12
66,9.556799795973347e-13
67,9.556799795973347e-13
68,9.556799795973347e-13
69,6.004086117172847e-13
70,6.004086117172847e-13
71,9.947598300641403e-14
72,6.750155989720952e-14
73,6.750155989720952e-14
74,6.750155989720952e-14
75,4.973799150320701e-14
76,7.105427357601002e-15
77,7.105427357601002e-15
78,7.105427357601002e-15
79,7.105427357601002e-15
80,3.552713678800501e-15
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
